Month,Gasoline (Thousand bbls_d),Ethane (Thousand bbls_day),Propane (Thousand bbl_d),Jet Fuel (Thousand bbl_d),
05-Jan,6123,13,327,1552,2005-01-01
05-Feb,6066,8,326,1576,2005-02-01
05-Mar,5864,10,314,1541,2005-03-01
05-Apr,6390,15,340,1638,2005-04-01
05-May,6283,18,339,1631,2005-05-01
05-Jun,6316,16,347,1701,2005-06-01
05-Jul,6176,16,325,1585,2005-07-01
05-Aug,6115,15,315,1590,2005-08-01
05-Sep,5906,11,277,1368,2005-09-01
05-Oct,5589,7,249,1337,2005-10-01
05-Nov,6123,17,288,1520,2005-11-01
05-Dec,6221,12,290,1515,2005-12-01
06-Jan,6003,8,286,1515,2006-01-01
06-Feb,5742,11,278,1438,2006-02-01
06-Mar,5461,15,276,1461,2006-03-01
06-Apr,5218,14,304,1447,2006-04-01
06-May,5306,13,323,1435,2006-05-01
06-Jun,5371,10,293,1493,2006-06-01
06-Jul,5303,17,300,1540,2006-07-01
06-Aug,5409,18,343,1485,2006-08-01
06-Sep,5330,17,312,1511,2006-09-01
06-Oct,4985,15,288,1490,2006-10-01
06-Nov,5167,19,303,1422,2006-11-01
06-Dec,5338,13,313,1529,2006-12-01
07-Jan,5229,17,324,1480,2007-01-01
07-Feb,4817,14,328,1421,2007-02-01
07-Mar,4948,12,325,1403,2007-03-01
07-Apr,4999,14,339,1368,2007-04-01
07-May,5185,14,338,1451,2007-05-01
07-Jun,5280,16,334,1459,2007-06-01
07-Jul,5250,15,340,1484,2007-07-01
07-Aug,5281,14,315,1470,2007-08-01
07-Sep,5065,12,327,1436,2007-09-01
07-Oct,4918,12,317,1446,2007-10-01
07-Nov,5070,15,325,1463,2007-11-01
07-Dec,5281,14,353,1489,2007-12-01
08-Jan,5025,15,329,1535,2008-01-01
08-Feb,4792,12,309,1467,2008-02-01
08-Mar,4710,13,314,1475,2008-03-01
08-Apr,4754,13,309,1492,2008-04-01
08-May,4541,15,337,1558,2008-05-01
08-Jun,4368,15,333,1605,2008-06-01
08-Jul,4362,15,324,1647,2008-07-01
08-Aug,4122,14,309,1609,2008-08-01
08-Sep,3588,7,265,1312,2008-09-01
08-Oct,4204,9,290,1401,2008-10-01
08-Nov,4067,13,320,1425,2008-11-01
08-Dec,4138,12,306,1383,2008-12-01
09-Jan,3838,14,278,1420,2009-01-01
09-Feb,3629,12,264,1402,2009-02-01
09-Mar,3778,15,280,1374,2009-03-01
09-Apr,3752,14,306,1428,2009-04-01
09-May,3902,13,304,1381,2009-05-01
09-Jun,4006,13,314,1405,2009-06-01
09-Jul,3897,13,299,1515,2009-07-01
09-Aug,3637,12,295,1395,2009-08-01
09-Sep,3710,15,285,1402,2009-09-01
09-Oct,3401,17,276,1297,2009-10-01
09-Nov,3579,17,296,1316,2009-11-01
09-Dec,3533,17,292,1467,2009-12-01
10-Jan,3224,14,264,1355,2010-01-01
10-Feb,3086,12,284,1346,2010-02-01
10-Mar,3307,15,289,1381,2010-03-01
10-Apr,3307,14,298,1475,2010-04-01
10-May,3172,16,304,1452,2010-05-01
10-Jun,3253,16,287,1495,2010-06-01
10-Jul,3353,16,292,1550,2010-07-01
10-Aug,3209,16,281,1470,2010-08-01
10-Sep,3056,15,281,1417,2010-09-01
10-Oct,2730,12,259,1336,2010-10-01
10-Nov,2866,13,266,1410,2010-11-01
10-Dec,2982,14,279,1439,2010-12-01
11-Jan,2839,15,261,1372,2011-01-01
11-Feb,2694,12,243,1313,2011-02-01
11-Mar,2647,15,265,1446,2011-03-01
11-Apr,2551,14,263,1426,2011-04-01
11-May,2695,13,273,1482,2011-05-01
11-Jun,2652,16,281,1570,2011-06-01
11-Jul,2530,13,276,1553,2011-07-01
11-Aug,2609,12,280,1548,2011-08-01
11-Sep,2782,14,263,1564,2011-09-01
11-Oct,2567,15,259,1397,2011-10-01
11-Nov,2864,15,286,1371,2011-11-01
11-Dec,2835,15,285,1454,2011-12-01
12-Jan,2442,15,270,1443,2012-01-01
12-Feb,2393,12,267,1407,2012-02-01
12-Mar,2324,15,258,1415,2012-03-01
12-Apr,2265,18,258,1436,2012-04-01
12-May,2315,16,267,1471,2012-05-01
12-Jun,2407,10,286,1612,2012-06-01
12-Jul,2346,13,295,1618,2012-07-01
12-Aug,2298,13,285,1566,2012-08-01
12-Sep,2347,12,268,1456,2012-09-01
12-Oct,2469,13,282,1427,2012-10-01
12-Nov,2538,12,280,1387,2012-11-01
12-Dec,2567,11,293,1491,2012-12-01
13-Jan,2470,7,268,1417,2013-01-01
13-Feb,2398,6,255,1410,2013-02-01
13-Mar,2289,6,277,1469,2013-03-01
13-Apr,2140,7,268,1531,2013-04-01
13-May,2261,5,289,1455,2013-05-01
13-Jun,2407,6,292,1530,2013-06-01
13-Jul,2400,7,290,1564,2013-07-01
13-Aug,2256,7,296,1615,2013-08-01
13-Sep,2250,9,293,1555,2013-09-01
13-Oct,2203,8,273,1447,2013-10-01
13-Nov,2298,7,287,1505,2013-11-01
13-Dec,2442,6,314,1598,2013-12-01
14-Jan,2063,5,303,1489,2014-01-01
14-Feb,2120,6,295,1470,2014-02-01
14-Mar,2001,4,290,1431,2014-03-01
14-Apr,2036,5,321,1507,2014-04-01
14-May,1986,5,322,1480,2014-05-01
14-Jun,1795,3,317,1531,2014-06-01
14-Jul,1888,5,330,1648,2014-07-01
14-Aug,1636,7,318,1685,2014-08-01
14-Sep,1567,5,298,1628,2014-09-01
14-Oct,1567,4,264,1497,2014-10-01
14-Nov,1775,4,297,1584,2014-11-01
14-Dec,1977,5,320,1675,2014-12-01
15-Jan,1604,4,288,1529,2015-01-01
15-Feb,1656,7,274,1536,2015-02-01
15-Mar,1612,6,299,1507,2015-03-01
15-Apr,1567,5,314,1600,2015-04-01
15-May,1490,5,297,1617,2015-05-01
15-Jun,1447,4,278,1645,2015-06-01
15-Jul,1571,5,283,1674,2015-07-01
15-Aug,1577,3,275,1604,2015-08-01
15-Sep,1637,4,265,1556,2015-09-01
15-Oct,1644,5,257,1559,2015-10-01
15-Nov,1767,5,284,1642,2015-11-01
15-Dec,1699,6,285,1702,2015-12-01
16-Jan,1591,4,284,1581,2016-01-01
16-Feb,1633,3,290,1579,2016-02-01
16-Mar,1647,4,307,1574,2016-03-01
16-Apr,1469,4,314,1592,2016-04-01
16-May,1506,4,328,1605,2016-05-01
16-Jun,1557,0,326,1660,2016-06-01
16-Jul,1591,2,321,1735,2016-07-01
16-Aug,1583,5,303,1794,2016-08-01
16-Sep,1560,3,302,1724,2016-09-01
16-Oct,1609,4,291,1591,2016-10-01
16-Nov,1610,3,309,1690,2016-11-01
16-Dec,1669,2,308,1663,2016-12-01
17-Jan,1558,3,298,1618,2017-01-01
17-Feb,1415,9,282,1604,2017-02-01
17-Mar,1427,2,295,1676,2017-03-01
17-Apr,1406,5,298,1737,2017-04-01
17-May,1480,7,324,1712,2017-05-01
17-Jun,1472,5,333,1762,2017-06-01
17-Jul,1540,5,312,1814,2017-07-01
17-Aug,1438,8,309,1761,2017-08-01
17-Sep,1447,3,278,1661,2017-09-01
17-Oct,1586,5,303,1611,2017-10-01
17-Nov,1772,7,315,1670,2017-11-01
17-Dec,1790,6,332,1784,2017-12-01
18-Jan,1694,5,296,1691,2018-01-01
18-Feb,1619,5,295,1689,2018-02-01
18-Mar,1604,8,295,1781,2018-03-01
18-Apr,1553,6,307,1795,2018-04-01
18-May,1427,4,300,1802,2018-05-01
18-Jun,1507,4,321,1891,2018-06-01
18-Jul,1545,6,320,1891,2018-07-01
18-Aug,1504,9,310,1952,2018-08-01
18-Sep,1588,5,296,1854,2018-09-01
18-Oct,1726,6,279,1690,2018-10-01
18-Nov,1766,7,294,1769,2018-11-01
18-Dec,1724,5,303,1855,2018-12-01
19-Jan,1800,2,297,1771,2019-01-01
19-Feb,1635,7,257,1693,2019-02-01
19-Mar,1632,6,288,1727,2019-03-01
19-Apr,1452,5,295,1727,2019-04-01
19-May,1503,5,295,1727,2019-05-01
19-Jun,1535,4,300,1879,2019-06-01
19-Jul,1531,6,292,1919,2019-07-01
19-Aug,1568,7,295,1922,2019-08-01
19-Sep,1531,5,272,1802,2019-09-01
19-Oct,1638,4,252,1662,2019-10-01
19-Nov,1788,5,294,1834,2019-11-01
19-Dec,1794,5,316,1890,2019-12-01
20-Jan,1720,5,297,1855,2020-01-01
20-Feb,1555,5,281,1667,2020-02-01
20-Mar,1506,7,278,1358,2020-03-01
20-Apr,1192,7,230,619,2020-04-01
20-May,1095,5,234,505,2020-05-01
20-Jun,1276,9,249,733,2020-06-01
20-Jul,1325,8,265,834,2020-07-01
20-Aug,1517,6,274,849,2020-08-01
20-Sep,1416,4,260,799,2020-09-01
20-Oct,1515,5,258,821,2020-10-01
20-Nov,1587,5,275,1062,2020-11-01
20-Dec,1590,6,266,1126,2020-12-01
21-Jan,1507,4,259,1226,2021-01-01
21-Feb,1284,2,219,950,2021-02-01
21-Mar,1453,3,271,1101,2021-03-01
21-Apr,1471,2,280,1262,2021-04-01
21-May,1535,6,301,1306,2021-05-01
21-Jun,1520,4,301,1380,2021-06-01
21-Jul,1407,2,289,1420,2021-07-01
21-Aug,1397,4,288,1432,2021-08-01
21-Sep,1351,6,260,1353,2021-09-01
21-Oct,1392,2,277,1319,2021-10-01
21-Nov,1441,8,287,1435,2021-11-01
21-Dec,1540,6,294,1511,2021-12-01
22-Jan,1416,9,268,1517,2022-01-01
22-Feb,1391,6,269,1502,2022-02-01
22-Mar,1337,5,284,1435,2022-03-01
22-Apr,1325,5,299,1698,2022-04-01
