,unique_carrier,sdomt_gallons,tdomt_gallons,sdomt_cost,tdomt_cost
0,9E,0.0,0.0,0.0,0.0
1,AA,162609079.0,163140817.6,264949334.8,265791415.6
2,AS,44150728.8,44216757.8,83009420.0,83115270.4
3,B6,50989510.6,50991829.6,91532867.4,91537676.4
4,CP,0.0,0.0,0.0,0.0
5,DL,147684843.4,149458650.6,284064640.2,288453038.8
6,EV,54337.0,54337.0,144824.4,144824.4
7,F9,16673565.8,16702663.6,27268139.4,27319145.0
8,G4,12320318.6,12820337.0,22750320.6,23703925.6
9,G7,0.0,0.0,0.0,0.0
10,HA,14408029.4,14438402.4,24183297.0,24241619.4
11,MQ,0.0,0.0,0.0,0.0
12,NK,24685799.8,24685799.8,45916819.2,45916819.2
13,OH,0.0,0.0,0.0,0.0
14,OO,6214610.8,6214610.8,12885113.2,12885113.2
15,QX,0.0,0.0,0.0,0.0
16,UA,115001515.0,115971276.2,191543386.6,193359267.6
17,VX,13895925.333333334,14118753.666666666,21263009.666666668,21628010.333333332
18,WN,156295770.8,156532592.0,293397830.2,293803944.4
19,YV,0.0,0.0,0.0,0.0
20,YX,5327632.2,5327632.2,7937670.4,7937670.4
21,ZW,4164202.3333333335,4164202.3333333335,7004583.0,7004583.0
